sel,libfracsurvive
BG505-mut-virus-1-FP16-02-500ug,0.052725
BG505-mut-virus-1-FP20-01-500ug,0.047702
BG505-mut-virus-1-VRC34-33ug,0.063644
BG505-mut-virus-3-FP16-02-500ug,0.04188
BG505-mut-virus-3-FP20-01-500ug,0.038097
BG505-mut-virus-3-VRC34-11ug,0.192255
BG505-mut-virus-3-VRC34-33ug,0.050239
